"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2011-04-13","Nashville Predators","4","Anaheim Ducks","1","","","",""
"2","2011-04-13","Phoenix Coyotes","2","Detroit Red Wings","4","","","",""
"3","2011-04-13","Tampa Bay Lightning","0","Pittsburgh Penguins","3","","","",""
"4","2011-04-13","Chicago Blackhawks","0","Vancouver Canucks","2","","","",""
"5","2011-04-13","New York Rangers","1","Washington Capitals","2","OT","","",""
"6","2011-04-14","Montreal Canadiens","2","Boston Bruins","0","","","",""
"7","2011-04-14","Buffalo Sabres","1","Philadelphia Flyers","0","","","",""
"8","2011-04-14","Los Angeles Kings","2","San Jose Sharks","3","OT","","",""
"9","2011-04-15","Nashville Predators","3","Anaheim Ducks","5","","","",""
"10","2011-04-15","Tampa Bay Lightning","5","Pittsburgh Penguins","1","","","",""
"11","2011-04-15","Chicago Blackhawks","3","Vancouver Canucks","4","","","",""
"12","2011-04-15","New York Rangers","0","Washington Capitals","2","","","",""
"13","2011-04-16","Montreal Canadiens","3","Boston Bruins","1","","","",""
"14","2011-04-16","Phoenix Coyotes","3","Detroit Red Wings","4","","","",""
"15","2011-04-16","Buffalo Sabres","4","Philadelphia Flyers","5","","","",""
"16","2011-04-16","Los Angeles Kings","4","San Jose Sharks","0","","","",""
"17","2011-04-17","Vancouver Canucks","3","Chicago Blackhawks","2","","","",""
"18","2011-04-17","Anaheim Ducks","3","Nashville Predators","4","","","",""
"19","2011-04-17","Washington Capitals","2","New York Rangers","3","","","",""
"20","2011-04-18","Philadelphia Flyers","4","Buffalo Sabres","2","","","",""
"21","2011-04-18","Boston Bruins","4","Montreal Canadiens","2","","","",""
"22","2011-04-18","Detroit Red Wings","4","Phoenix Coyotes","2","","","",""
"23","2011-04-18","Pittsburgh Penguins","3","Tampa Bay Lightning","2","","","",""
"24","2011-04-19","Vancouver Canucks","2","Chicago Blackhawks","7","","","",""
"25","2011-04-19","San Jose Sharks","6","Los Angeles Kings","5","OT","","",""
"26","2011-04-20","Philadelphia Flyers","0","Buffalo Sabres","1","","","",""
"27","2011-04-20","Anaheim Ducks","6","Nashville Predators","3","","","",""
"28","2011-04-20","Washington Capitals","4","New York Rangers","3","2OT","","",""
"29","2011-04-20","Detroit Red Wings","6","Phoenix Coyotes","3","","","",""
"30","2011-04-20","Pittsburgh Penguins","3","Tampa Bay Lightning","2","2OT","","",""
"31","2011-04-21","San Jose Sharks","6","Los Angeles Kings","3","","","",""
"32","2011-04-21","Boston Bruins","5","Montreal Canadiens","4","OT","","",""
"33","2011-04-21","Chicago Blackhawks","5","Vancouver Canucks","0","","","",""
"34","2011-04-22","Nashville Predators","4","Anaheim Ducks","3","OT","","",""
"35","2011-04-22","Buffalo Sabres","4","Philadelphia Flyers","3","OT","","",""
"36","2011-04-23","Montreal Canadiens","1","Boston Bruins","2","2OT","","",""
"37","2011-04-23","Tampa Bay Lightning","8","Pittsburgh Penguins","2","","","",""
"38","2011-04-23","Los Angeles Kings","3","San Jose Sharks","1","","","",""
"39","2011-04-23","New York Rangers","1","Washington Capitals","3","","","",""
"40","2011-04-24","Philadelphia Flyers","5","Buffalo Sabres","4","OT","","",""
"41","2011-04-24","Vancouver Canucks","3","Chicago Blackhawks","4","OT","","",""
"42","2011-04-24","Anaheim Ducks","2","Nashville Predators","4","","","",""
"43","2011-04-25","San Jose Sharks","4","Los Angeles Kings","3","OT","","",""
"44","2011-04-25","Pittsburgh Penguins","2","Tampa Bay Lightning","4","","","",""
"45","2011-04-26","Boston Bruins","1","Montreal Canadiens","2","","","",""
"46","2011-04-26","Buffalo Sabres","2","Philadelphia Flyers","5","","","",""
"47","2011-04-26","Chicago Blackhawks","1","Vancouver Canucks","2","OT","","",""
"48","2011-04-27","Montreal Canadiens","3","Boston Bruins","4","OT","","",""
"49","2011-04-27","Tampa Bay Lightning","1","Pittsburgh Penguins","0","","","",""
"50","2011-04-28","Nashville Predators","0","Vancouver Canucks","1","","","",""
"51","2011-04-29","Detroit Red Wings","1","San Jose Sharks","2","OT","","",""
"52","2011-04-29","Tampa Bay Lightning","4","Washington Capitals","2","","","",""
"53","2011-04-30","Boston Bruins","7","Philadelphia Flyers","3","","","",""
"54","2011-04-30","Nashville Predators","2","Vancouver Canucks","1","2OT","","",""
"55","2011-05-01","Detroit Red Wings","1","San Jose Sharks","2","","","",""
"56","2011-05-01","Tampa Bay Lightning","3","Washington Capitals","2","OT","","",""
"57","2011-05-02","Boston Bruins","3","Philadelphia Flyers","2","OT","","",""
"58","2011-05-03","Vancouver Canucks","3","Nashville Predators","2","OT","","",""
"59","2011-05-03","Washington Capitals","3","Tampa Bay Lightning","4","","","",""
"60","2011-05-04","Philadelphia Flyers","1","Boston Bruins","5","","","",""
"61","2011-05-04","San Jose Sharks","4","Detroit Red Wings","3","OT","","",""
"62","2011-05-04","Washington Capitals","3","Tampa Bay Lightning","5","","","",""
"63","2011-05-05","Vancouver Canucks","4","Nashville Predators","2","","","",""
"64","2011-05-06","Philadelphia Flyers","1","Boston Bruins","5","","","",""
"65","2011-05-06","San Jose Sharks","3","Detroit Red Wings","4","","","",""
"66","2011-05-07","Nashville Predators","4","Vancouver Canucks","3","","","",""
"67","2011-05-08","Detroit Red Wings","4","San Jose Sharks","3","","","",""
"68","2011-05-09","Vancouver Canucks","2","Nashville Predators","1","","","",""
"69","2011-05-10","San Jose Sharks","1","Detroit Red Wings","3","","","",""
"70","2011-05-12","Detroit Red Wings","2","San Jose Sharks","3","","","",""
"71","2011-05-14","Tampa Bay Lightning","5","Boston Bruins","2","","","",""
"72","2011-05-15","San Jose Sharks","2","Vancouver Canucks","3","","","",""
"73","2011-05-17","Tampa Bay Lightning","5","Boston Bruins","6","","","",""
"74","2011-05-18","San Jose Sharks","3","Vancouver Canucks","7","","","",""
"75","2011-05-19","Boston Bruins","2","Tampa Bay Lightning","0","","","",""
"76","2011-05-20","Vancouver Canucks","3","San Jose Sharks","4","","","",""
"77","2011-05-21","Boston Bruins","3","Tampa Bay Lightning","5","","","",""
"78","2011-05-22","Vancouver Canucks","4","San Jose Sharks","2","","","",""
"79","2011-05-23","Tampa Bay Lightning","1","Boston Bruins","3","","","",""
"80","2011-05-24","San Jose Sharks","2","Vancouver Canucks","3","2OT","","",""
"81","2011-05-25","Boston Bruins","4","Tampa Bay Lightning","5","","","",""
"82","2011-05-27","Tampa Bay Lightning","0","Boston Bruins","1","","","",""
"83","2011-06-01","Boston Bruins","0","Vancouver Canucks","1","","","",""
"84","2011-06-04","Boston Bruins","2","Vancouver Canucks","3","OT","","",""
"85","2011-06-06","Vancouver Canucks","1","Boston Bruins","8","","","",""
"86","2011-06-08","Vancouver Canucks","0","Boston Bruins","4","","","",""
"87","2011-06-10","Boston Bruins","0","Vancouver Canucks","1","","","",""
"88","2011-06-13","Vancouver Canucks","2","Boston Bruins","5","","","",""
"89","2011-06-15","Boston Bruins","4","Vancouver Canucks","0","","","",""
