,Date,Visitor,G,Home,G,,Att.,LOG,Notes
73,2015-10-17,Buffalo Sabres,1,Tampa Bay Lightning,2,,"19,092",02:27,
74,2015-10-17,Carolina Hurricanes,1,Washington Capitals,4,,"18,506",02:26,
75,2015-10-18,Minnesota Wild,1,Anaheim Ducks,4,,"16,784",02:34,
76,2015-10-18,Colorado Avalanche,1,Los Angeles Kings,2,,"18,230",02:34,
77,2015-10-18,New Jersey Devils,2,New York Rangers,1,OT,"18,006",02:23,
78,2015-10-18,Edmonton Oilers,2,Vancouver Canucks,1,OT,"18,261",02:21,
79,2015-10-18,St. Louis Blues,4,Winnipeg Jets,2,,"15,294",03:28,
80,2015-10-19,San Jose Sharks,0,New York Rangers,4,,"18,006",02:19,
81,2015-10-20,New York Islanders,4,Columbus Blue Jackets,0,,"14,295",02:28,
82,2015-10-20,Washington Capitals,6,Calgary Flames,2,,"18,303",02:28,
83,2015-10-20,St. Louis Blues,0,Montreal Canadiens,3,,"21,288",02:40,
84,2015-10-20,Arizona Coyotes,2,New Jersey Devils,3,OT,"12,171",02:32,
85,2015-10-20,Tampa Bay Lightning,4,Nashville Predators,5,SO,"17,113",02:43,
86,2015-10-20,Dallas Stars,2,Philadelphia Flyers,1,,"19,077",02:35,
87,2015-10-20,Florida Panthers,2,Pittsburgh Penguins,3,OT,"18,471",02:45,
88,2015-10-21,Philadelphia Flyers,5,Boston Bruins,4,OT,"17,565",02:33,
89,2015-10-21,Toronto Maple Leafs,1,Buffalo Sabres,2,SO,"17,762",02:47,
90,2015-10-21,Carolina Hurricanes,1,Colorado Avalanche,0,OT,"12,826",02:24,
91,2015-10-21,Detroit Red Wings,1,Edmonton Oilers,3,,"16,839",02:25,
92,2015-10-22,Florida Panthers,2,Chicago Blackhawks,3,,"21,591",02:34,
93,2015-10-22,Columbus Blue Jackets,2,Minnesota Wild,3,,"18,650",02:31,
94,2015-10-22,Anaheim Ducks,1,Nashville Predators,5,,"17,113",02:28,
95,2015-10-22,Arizona Coyotes,1,New York Rangers,4,,"18,006",02:38,
96,2015-10-22,New Jersey Devils,5,Ottawa Senators,4,SO,"16,578",02:41,
97,2015-10-22,Dallas Stars,4,Pittsburgh Penguins,1,,"18,490",02:32,
98,2015-10-22,Los Angeles Kings,4,San Jose Sharks,1,,"16,797",02:39,
99,2015-10-22,Washington Capitals,3,Vancouver Canucks,2,,"18,188",02:17,
100,2015-10-23,Montreal Canadiens,7,Buffalo Sabres,2,,"18,214",02:28,
