"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2010-04-14","Philadelphia Flyers","2","New Jersey Devils","1","","","",""
"2","2010-04-14","Detroit Red Wings","2","Phoenix Coyotes","3","","","",""
"3","2010-04-14","Ottawa Senators","5","Pittsburgh Penguins","4","","","",""
"4","2010-04-14","Colorado Avalanche","2","San Jose Sharks","1","","","",""
"5","2010-04-15","Boston Bruins","1","Buffalo Sabres","2","","","",""
"6","2010-04-15","Los Angeles Kings","2","Vancouver Canucks","3","OT","","",""
"7","2010-04-15","Montreal Canadiens","3","Washington Capitals","2","OT","","",""
"8","2010-04-16","Nashville Predators","4","Chicago Blackhawks","1","","","",""
"9","2010-04-16","Philadelphia Flyers","3","New Jersey Devils","5","","","",""
"10","2010-04-16","Detroit Red Wings","7","Phoenix Coyotes","4","","","",""
"11","2010-04-16","Ottawa Senators","1","Pittsburgh Penguins","2","","","",""
"12","2010-04-16","Colorado Avalanche","5","San Jose Sharks","6","OT","","",""
"13","2010-04-17","Boston Bruins","5","Buffalo Sabres","3","","","",""
"14","2010-04-17","Los Angeles Kings","3","Vancouver Canucks","2","OT","","",""
"15","2010-04-17","Montreal Canadiens","5","Washington Capitals","6","OT","","",""
"16","2010-04-18","Nashville Predators","0","Chicago Blackhawks","2","","","",""
"17","2010-04-18","San Jose Sharks","0","Colorado Avalanche","1","OT","","",""
"18","2010-04-18","Phoenix Coyotes","4","Detroit Red Wings","2","","","",""
"19","2010-04-18","Pittsburgh Penguins","4","Ottawa Senators","2","","","",""
"20","2010-04-18","New Jersey Devils","2","Philadelphia Flyers","3","OT","","",""
"21","2010-04-19","Buffalo Sabres","1","Boston Bruins","2","","","",""
"22","2010-04-19","Vancouver Canucks","3","Los Angeles Kings","5","","","",""
"23","2010-04-19","Washington Capitals","5","Montreal Canadiens","1","","","",""
"24","2010-04-20","San Jose Sharks","2","Colorado Avalanche","1","OT","","",""
"25","2010-04-20","Phoenix Coyotes","0","Detroit Red Wings","3","","","",""
"26","2010-04-20","Chicago Blackhawks","1","Nashville Predators","4","","","",""
"27","2010-04-20","Pittsburgh Penguins","7","Ottawa Senators","4","","","",""
"28","2010-04-20","New Jersey Devils","1","Philadelphia Flyers","4","","","",""
"29","2010-04-21","Buffalo Sabres","2","Boston Bruins","3","2OT","","",""
"30","2010-04-21","Vancouver Canucks","6","Los Angeles Kings","4","","","",""
"31","2010-04-21","Washington Capitals","6","Montreal Canadiens","3","","","",""
"32","2010-04-22","Philadelphia Flyers","3","New Jersey Devils","0","","","",""
"33","2010-04-22","Chicago Blackhawks","3","Nashville Predators","0","","","",""
"34","2010-04-22","Ottawa Senators","4","Pittsburgh Penguins","3","3OT","","",""
"35","2010-04-22","Colorado Avalanche","0","San Jose Sharks","5","","","",""
"36","2010-04-23","Boston Bruins","1","Buffalo Sabres","4","","","",""
"37","2010-04-23","Detroit Red Wings","4","Phoenix Coyotes","1","","","",""
"38","2010-04-23","Los Angeles Kings","2","Vancouver Canucks","7","","","",""
"39","2010-04-23","Montreal Canadiens","2","Washington Capitals","1","","","",""
"40","2010-04-24","Nashville Predators","4","Chicago Blackhawks","5","OT","","",""
"41","2010-04-24","San Jose Sharks","5","Colorado Avalanche","2","","","",""
"42","2010-04-24","Pittsburgh Penguins","4","Ottawa Senators","3","OT","","",""
"43","2010-04-25","Phoenix Coyotes","5","Detroit Red Wings","2","","","",""
"44","2010-04-25","Vancouver Canucks","4","Los Angeles Kings","2","","","",""
"45","2010-04-26","Buffalo Sabres","3","Boston Bruins","4","","","",""
"46","2010-04-26","Washington Capitals","1","Montreal Canadiens","4","","","",""
"47","2010-04-26","Chicago Blackhawks","5","Nashville Predators","3","","","",""
"48","2010-04-27","Detroit Red Wings","6","Phoenix Coyotes","1","","","",""
"49","2010-04-28","Montreal Canadiens","2","Washington Capitals","1","","","",""
"50","2010-04-29","Detroit Red Wings","3","San Jose Sharks","4","","","",""
"51","2010-04-30","Montreal Canadiens","3","Pittsburgh Penguins","6","","","",""
"52","2010-05-01","Philadelphia Flyers","4","Boston Bruins","5","OT","","",""
"53","2010-05-01","Vancouver Canucks","5","Chicago Blackhawks","1","","","",""
"54","2010-05-02","Montreal Canadiens","3","Pittsburgh Penguins","1","","","",""
"55","2010-05-02","Detroit Red Wings","3","San Jose Sharks","4","","","",""
"56","2010-05-03","Philadelphia Flyers","2","Boston Bruins","3","","","",""
"57","2010-05-03","Vancouver Canucks","2","Chicago Blackhawks","4","","","",""
"58","2010-05-04","San Jose Sharks","4","Detroit Red Wings","3","OT","","",""
"59","2010-05-04","Pittsburgh Penguins","2","Montreal Canadiens","0","","","",""
"60","2010-05-05","Boston Bruins","4","Philadelphia Flyers","1","","","",""
