"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2012-04-11","Detroit Red Wings","2","Nashville Predators","3","","","",""
"2","2012-04-11","Philadelphia Flyers","4","Pittsburgh Penguins","3","OT","","",""
"3","2012-04-11","Los Angeles Kings","4","Vancouver Canucks","2","","","",""
"4","2012-04-12","Washington Capitals","0","Boston Bruins","1","OT","","",""
"5","2012-04-12","Ottawa Senators","2","New York Rangers","4","","","",""
"6","2012-04-12","Chicago Blackhawks","2","Phoenix Coyotes","3","OT","","",""
"7","2012-04-12","San Jose Sharks","3","St. Louis Blues","2","2OT","","",""
"8","2012-04-13","New Jersey Devils","3","Florida Panthers","2","","","",""
"9","2012-04-13","Detroit Red Wings","3","Nashville Predators","2","","","",""
"10","2012-04-13","Philadelphia Flyers","8","Pittsburgh Penguins","5","","","",""
"11","2012-04-13","Los Angeles Kings","4","Vancouver Canucks","2","","","",""
"12","2012-04-14","Washington Capitals","2","Boston Bruins","1","2OT","","",""
"13","2012-04-14","Ottawa Senators","3","New York Rangers","2","OT","","",""
"14","2012-04-14","Chicago Blackhawks","4","Phoenix Coyotes","3","OT","","",""
"15","2012-04-14","San Jose Sharks","0","St. Louis Blues","3","","","",""
"16","2012-04-15","Nashville Predators","3","Detroit Red Wings","2","","","",""
"17","2012-04-15","New Jersey Devils","2","Florida Panthers","4","","","",""
"18","2012-04-15","Vancouver Canucks","0","Los Angeles Kings","1","","","",""
"19","2012-04-15","Pittsburgh Penguins","4","Philadelphia Flyers","8","","","",""
"20","2012-04-16","New York Rangers","1","Ottawa Senators","0","","","",""
"21","2012-04-16","St. Louis Blues","4","San Jose Sharks","3","","","",""
"22","2012-04-16","Boston Bruins","4","Washington Capitals","3","","","",""
"23","2012-04-17","Phoenix Coyotes","3","Chicago Blackhawks","2","OT","","",""
"24","2012-04-17","Nashville Predators","3","Detroit Red Wings","1","","","",""
"25","2012-04-17","Florida Panthers","4","New Jersey Devils","3","","","",""
"26","2012-04-18","Vancouver Canucks","3","Los Angeles Kings","1","","","",""
"27","2012-04-18","New York Rangers","2","Ottawa Senators","3","OT","","",""
"28","2012-04-18","Pittsburgh Penguins","10","Philadelphia Flyers","3","","","",""
"29","2012-04-19","Phoenix Coyotes","3","Chicago Blackhawks","2","OT","","",""
"30","2012-04-19","Florida Panthers","0","New Jersey Devils","4","","","",""
"31","2012-04-19","St. Louis Blues","2","San Jose Sharks","1","","","",""
"32","2012-04-19","Boston Bruins","1","Washington Capitals","2","","","",""
"33","2012-04-20","Detroit Red Wings","1","Nashville Predators","2","","","",""
"34","2012-04-20","Philadelphia Flyers","2","Pittsburgh Penguins","3","","","",""
"35","2012-04-21","Washington Capitals","4","Boston Bruins","3","","","",""
"36","2012-04-21","New Jersey Devils","0","Florida Panthers","3","","","",""
"37","2012-04-21","Ottawa Senators","2","New York Rangers","0","","","",""
"38","2012-04-21","Chicago Blackhawks","2","Phoenix Coyotes","1","OT","","",""
"39","2012-04-21","San Jose Sharks","1","St. Louis Blues","3","","","",""
"40","2012-04-22","Pittsburgh Penguins","1","Philadelphia Flyers","5","","","",""
