"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2011-10-06","Philadelphia Flyers","2","Boston Bruins","1","","","",""
"2","2011-10-06","Montreal Canadiens","0","Toronto Maple Leafs","2","","","",""
"3","2011-10-06","Pittsburgh Penguins","4","Vancouver Canucks","3","SO","","",""
"4","2011-10-07","Anaheim Ducks","1","Buffalo Sabres","4","","","","at Helsinki, FI"
"5","2011-10-07","Tampa Bay Lightning","5","Carolina Hurricanes","1","","","",""
"6","2011-10-07","Nashville Predators","3","Columbus Blue Jackets","2","","","",""
"7","2011-10-07","Chicago Blackhawks","1","Dallas Stars","2","","","",""
"8","2011-10-07","Ottawa Senators","3","Detroit Red Wings","5","","","",""
"9","2011-10-07","New York Rangers","2","Los Angeles Kings","3","OT","","","at Stockholm, SE"
"10","2011-10-08","New York Rangers","1","Anaheim Ducks","2","SO","","","at Stockholm, SE"
"11","2011-10-08","Tampa Bay Lightning","1","Boston Bruins","4","","","",""
"12","2011-10-08","Pittsburgh Penguins","5","Calgary Flames","3","","","",""
"13","2011-10-08","Dallas Stars","2","Chicago Blackhawks","5","","","",""
"14","2011-10-08","Detroit Red Wings","3","Colorado Avalanche","0","","","",""
"15","2011-10-08","Buffalo Sabres","4","Los Angeles Kings","2","","","","at Berlin, DE"
"16","2011-10-08","Columbus Blue Jackets","2","Minnesota Wild","4","","","",""
"17","2011-10-08","Philadelphia Flyers","3","New Jersey Devils","0","","","",""
"18","2011-10-08","Florida Panthers","2","New York Islanders","0","","","",""
"19","2011-10-08","Phoenix Coyotes","3","San Jose Sharks","6","","","",""
"20","2011-10-08","Nashville Predators","4","St. Louis Blues","2","","","",""
"21","2011-10-08","Ottawa Senators","5","Toronto Maple Leafs","6","","","",""
"22","2011-10-08","Carolina Hurricanes","3","Washington Capitals","4","OT","","",""
"23","2011-10-09","Pittsburgh Penguins","1","Edmonton Oilers","2","SO","","",""
"24","2011-10-09","Montreal Canadiens","5","Winnipeg Jets","1","","","",""
"25","2011-10-10","Colorado Avalanche","1","Boston Bruins","0","","","",""
"26","2011-10-10","Vancouver Canucks","3","Columbus Blue Jackets","2","","","",""
"27","2011-10-10","Phoenix Coyotes","1","Dallas Stars","2","SO","","",""
"28","2011-10-10","Carolina Hurricanes","2","New Jersey Devils","4","","","",""
"29","2011-10-10","Minnesota Wild","1","New York Islanders","2","","","",""
"30","2011-10-10","Calgary Flames","2","St. Louis Blues","5","","","",""
"31","2011-10-10","Tampa Bay Lightning","5","Washington Capitals","6","SO","","",""
"32","2011-10-11","Minnesota Wild","3","Ottawa Senators","4","SO","","",""
"33","2011-10-11","Florida Panthers","2","Pittsburgh Penguins","4","","","",""
"34","2011-10-12","Boston Bruins","2","Carolina Hurricanes","3","","","",""
"35","2011-10-12","Colorado Avalanche","3","Columbus Blue Jackets","2","SO","","",""
"36","2011-10-12","Vancouver Canucks","4","Philadelphia Flyers","5","","","",""
"37","2011-10-13","Winnipeg Jets","3","Chicago Blackhawks","4","","","",""
"38","2011-10-13","St. Louis Blues","2","Dallas Stars","3","","","",""
"39","2011-10-13","Vancouver Canucks","0","Detroit Red Wings","2","","","",""
"40","2011-10-13","Edmonton Oilers","1","Minnesota Wild","2","SO","","",""
"41","2011-10-13","Calgary Flames","4","Montreal Canadiens","1","","","",""
"42","2011-10-13","Los Angeles Kings","1","New Jersey Devils","2","SO","","",""
"43","2011-10-13","Phoenix Coyotes","5","Nashville Predators","2","","","",""
"44","2011-10-13","Tampa Bay Lightning","1","New York Islanders","5","","","",""
"45","2011-10-13","Colorado Avalanche","7","Ottawa Senators","1","","","",""
"46","2011-10-13","Washington Capitals","3","Pittsburgh Penguins","2","OT","","",""
"47","2011-10-14","San Jose Sharks","0","Anaheim Ducks","1","","","",""
"48","2011-10-14","Carolina Hurricanes","4","Buffalo Sabres","3","","","",""
"49","2011-10-15","Boston Bruins","3","Chicago Blackhawks","2","SO","","",""
"50","2011-10-15","Columbus Blue Jackets","2","Dallas Stars","4","","","",""
"51","2011-10-15","Vancouver Canucks","4","Edmonton Oilers","3","","","",""
"52","2011-10-15","Tampa Bay Lightning","2","Florida Panthers","3","SO","","",""
"53","2011-10-15","Detroit Red Wings","3","Minnesota Wild","2","OT","","",""
"54","2011-10-15","Colorado Avalanche","6","Montreal Canadiens","5","SO","","",""
"55","2011-10-15","New Jersey Devils","3","Nashville Predators","2","SO","","",""
"56","2011-10-15","New York Rangers","2","New York Islanders","4","","","",""
"57","2011-10-15","Los Angeles Kings","3","Philadelphia Flyers","2","OT","","",""
"58","2011-10-15","Winnipeg Jets","1","Phoenix Coyotes","4","","","",""
"59","2011-10-15","Buffalo Sabres","3","Pittsburgh Penguins","2","","","",""
"60","2011-10-15","St. Louis Blues","4","San Jose Sharks","2","","","",""
"61","2011-10-15","Calgary Flames","2","Toronto Maple Leafs","3","","","",""
"62","2011-10-15","Ottawa Senators","1","Washington Capitals","2","","","",""
"63","2011-10-16","St. Louis Blues","2","Anaheim Ducks","4","","","",""
"64","2011-10-17","Nashville Predators","1","Edmonton Oilers","3","","","",""
"65","2011-10-17","Anaheim Ducks","3","San Jose Sharks","2","","","",""
"66","2011-10-17","Florida Panthers","7","Tampa Bay Lightning","4","","","",""
"67","2011-10-17","Colorado Avalanche","3","Toronto Maple Leafs","2","OT","","",""
"68","2011-10-17","Pittsburgh Penguins","1","Winnipeg Jets","2","","","",""
"69","2011-10-18","Carolina Hurricanes","4","Boston Bruins","1","","","",""
"70","2011-10-18","Dallas Stars","3","Columbus Blue Jackets","2","","","",""
"71","2011-10-18","Edmonton Oilers","1","Calgary Flames","2","","","",""
"72","2011-10-18","St. Louis Blues","0","Los Angeles Kings","5","","","",""
"73","2011-10-18","Pittsburgh Penguins","4","Minnesota Wild","2","","","",""
"74","2011-10-18","Buffalo Sabres","3","Montreal Canadiens","1","","","",""
"75","2011-10-18","Philadelphia Flyers","7","Ottawa Senators","2","","","",""
"76","2011-10-18","Chicago Blackhawks","5","Phoenix Coyotes","2","","","",""
"77","2011-10-18","New York Rangers","4","Vancouver Canucks","0","","","",""
"78","2011-10-18","Florida Panthers","0","Washington Capitals","3","","","",""
"79","2011-10-19","Winnipeg Jets","3","Toronto Maple Leafs","4","SO","","",""
"80","2011-10-20","Toronto Maple Leafs","2","Boston Bruins","6","","","",""
"81","2011-10-20","New York Rangers","3","Calgary Flames","2","OT","","",""
"82","2011-10-20","Chicago Blackhawks","3","Colorado Avalanche","1","","","",""
"83","2011-10-20","Minnesota Wild","2","Edmonton Oilers","1","SO","","",""
"84","2011-10-20","Buffalo Sabres","3","Florida Panthers","0","","","",""
"85","2011-10-20","Winnipeg Jets","1","Ottawa Senators","4","","","",""
"86","2011-10-20","Washington Capitals","5","Philadelphia Flyers","2","","","",""
"87","2011-10-20","Los Angeles Kings","2","Phoenix Coyotes","0","","","",""
"88","2011-10-20","Montreal Canadiens","1","Pittsburgh Penguins","3","","","",""
"89","2011-10-20","New York Islanders","1","Tampa Bay Lightning","4","","","",""
"90","2011-10-20","Nashville Predators","1","Vancouver Canucks","5","","","",""
"91","2011-10-21","Dallas Stars","3","Anaheim Ducks","1","","","",""
"92","2011-10-21","Columbus Blue Jackets","2","Detroit Red Wings","5","","","",""
"93","2011-10-21","San Jose Sharks","4","New Jersey Devils","3","SO","","",""
"94","2011-10-21","Carolina Hurricanes","2","St. Louis Blues","3","OT","","",""
"95","2011-10-22","San Jose Sharks","4","Boston Bruins","2","","","",""
"96","2011-10-22","Nashville Predators","2","Calgary Flames","0","","","",""
"97","2011-10-22","Colorado Avalanche","5","Chicago Blackhawks","4","SO","","",""
"98","2011-10-22","New York Rangers","0","Edmonton Oilers","2","","","",""
