"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2013-10-01","Washington Capitals","4","Chicago Blackhawks","6","","","",""
"2","2013-10-01","Winnipeg Jets","5","Edmonton Oilers","4","","","",""
"3","2013-10-01","Toronto Maple Leafs","4","Montreal Canadiens","3","","","",""
"4","2013-10-02","Anaheim Ducks","1","Colorado Avalanche","6","","","",""
"5","2013-10-02","Buffalo Sabres","1","Detroit Red Wings","2","","","",""
"6","2013-10-02","Toronto Maple Leafs","3","Philadelphia Flyers","1","","","",""
"7","2013-10-03","Tampa Bay Lightning","1","Boston Bruins","3","","","",""
"8","2013-10-03","Florida Panthers","4","Dallas Stars","2","","","",""
"9","2013-10-03","Los Angeles Kings","3","Minnesota Wild","2","SO","","",""
"10","2013-10-03","New York Rangers","1","Phoenix Coyotes","4","","","",""
"11","2013-10-03","New Jersey Devils","0","Pittsburgh Penguins","3","","","",""
"12","2013-10-03","Vancouver Canucks","1","San Jose Sharks","4","","","",""
"13","2013-10-03","Nashville Predators","2","St. Louis Blues","4","","","",""
"14","2013-10-03","Calgary Flames","4","Washington Capitals","5","SO","","",""
"15","2013-10-04","Ottawa Senators","1","Buffalo Sabres","0","","","",""
"16","2013-10-04","Detroit Red Wings","3","Carolina Hurricanes","2","OT","","",""
"17","2013-10-04","Calgary Flames","4","Columbus Blue Jackets","3","","","",""
"18","2013-10-04","Nashville Predators","1","Colorado Avalanche","3","","","",""
"19","2013-10-04","New York Islanders","4","New Jersey Devils","3","SO","","",""
"20","2013-10-04","Los Angeles Kings","3","Winnipeg Jets","5","","","",""
"21","2013-10-05","Detroit Red Wings","1","Boston Bruins","4","","","",""
"22","2013-10-05","Tampa Bay Lightning","3","Chicago Blackhawks","2","SO","","",""
"23","2013-10-05","Washington Capitals","1","Dallas Stars","2","","","",""
"24","2013-10-05","Anaheim Ducks","4","Minnesota Wild","3","OT","","",""
"25","2013-10-05","Philadelphia Flyers","1","Montreal Canadiens","4","","","",""
"26","2013-10-05","Columbus Blue Jackets","3","New York Islanders","2","SO","","",""
"27","2013-10-05","Buffalo Sabres","1","Pittsburgh Penguins","4","","","",""
"28","2013-10-05","Phoenix Coyotes","1","San Jose Sharks","4","","","",""
"29","2013-10-05","Florida Panthers","0","St. Louis Blues","7","","","",""
"30","2013-10-05","Ottawa Senators","4","Toronto Maple Leafs","5","SO","","",""
"31","2013-10-05","Edmonton Oilers","2","Vancouver Canucks","6","","","",""
"32","2013-10-06","Philadelphia Flyers","1","Carolina Hurricanes","2","","","",""
"33","2013-10-06","Vancouver Canucks","5","Calgary Flames","4","OT","","",""
"34","2013-10-06","Anaheim Ducks","3","Winnipeg Jets","2","","","",""
"35","2013-10-07","New Jersey Devils","4","Edmonton Oilers","5","SO","","",""
"36","2013-10-07","New York Rangers","3","Los Angeles Kings","1","","","",""
"37","2013-10-08","Tampa Bay Lightning","3","Buffalo Sabres","2","OT","","",""
"38","2013-10-08","Minnesota Wild","2","Nashville Predators","3","","","",""
"39","2013-10-08","Phoenix Coyotes","1","New York Islanders","6","","","",""
"40","2013-10-08","Florida Panthers","1","Philadelphia Flyers","2","","","",""
"41","2013-10-08","Carolina Hurricanes","2","Pittsburgh Penguins","5","","","",""
"42","2013-10-08","New York Rangers","2","San Jose Sharks","9","","","",""
