"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2008-04-09","Colorado Avalanche","3","Minnesota Wild","2","OT","","",""
"2","2008-04-09","New York Rangers","4","New Jersey Devils","1","","","",""
"3","2008-04-09","Ottawa Senators","0","Pittsburgh Penguins","4","","","",""
"4","2008-04-09","Calgary Flames","3","San Jose Sharks","2","","","",""
"5","2008-04-10","Dallas Stars","4","Anaheim Ducks","0","","","",""
"6","2008-04-10","Nashville Predators","1","Detroit Red Wings","3","","","",""
"7","2008-04-10","Boston Bruins","1","Montreal Canadiens","4","","","",""
"8","2008-04-10","Calgary Flames","0","San Jose Sharks","2","","","",""
"9","2008-04-11","Colorado Avalanche","2","Minnesota Wild","3","OT","","",""
"10","2008-04-11","New York Rangers","2","New Jersey Devils","1","","","",""
"11","2008-04-11","Ottawa Senators","3","Pittsburgh Penguins","5","","","",""
"12","2008-04-11","Philadelphia Flyers","4","Washington Capitals","5","","","",""
"13","2008-04-12","Dallas Stars","5","Anaheim Ducks","2","","","",""
"14","2008-04-12","Nashville Predators","2","Detroit Red Wings","4","","","",""
"15","2008-04-12","Boston Bruins","2","Montreal Canadiens","3","OT","","",""
"16","2008-04-13","Montreal Canadiens","1","Boston Bruins","2","OT","","",""
"17","2008-04-13","San Jose Sharks","3","Calgary Flames","4","","","",""
"18","2008-04-13","New Jersey Devils","4","New York Rangers","3","OT","","",""
"19","2008-04-13","Philadelphia Flyers","2","Washington Capitals","0","","","",""
"20","2008-04-14","Minnesota Wild","3","Colorado Avalanche","2","OT","","",""
"21","2008-04-14","Detroit Red Wings","3","Nashville Predators","5","","","",""
"22","2008-04-14","Pittsburgh Penguins","4","Ottawa Senators","1","","","",""
"23","2008-04-15","Montreal Canadiens","1","Boston Bruins","0","","","",""
"24","2008-04-15","San Jose Sharks","3","Calgary Flames","2","","","",""
"25","2008-04-15","Minnesota Wild","1","Colorado Avalanche","5","","","",""
"26","2008-04-15","Anaheim Ducks","4","Dallas Stars","2","","","",""
"27","2008-04-15","Washington Capitals","3","Philadelphia Flyers","6","","","",""
"28","2008-04-16","Detroit Red Wings","2","Nashville Predators","3","","","",""
"29","2008-04-16","New Jersey Devils","3","New York Rangers","5","","","",""
