"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2013-04-30","Detroit Red Wings","1","Anaheim Ducks","3","","","",""
"2","2013-04-30","Minnesota Wild","1","Chicago Blackhawks","2","OT","","",""
"3","2013-04-30","Los Angeles Kings","1","St. Louis Blues","2","OT","","",""
"4","2013-05-01","Toronto Maple Leafs","1","Boston Bruins","4","","","",""
"5","2013-05-01","New York Islanders","0","Pittsburgh Penguins","5","","","",""
"6","2013-05-01","San Jose Sharks","3","Vancouver Canucks","1","","","",""
"7","2013-05-02","Detroit Red Wings","5","Anaheim Ducks","4","OT","","",""
"8","2013-05-02","Ottawa Senators","4","Montreal Canadiens","2","","","",""
"9","2013-05-02","Los Angeles Kings","1","St. Louis Blues","2","","","",""
"10","2013-05-02","New York Rangers","1","Washington Capitals","3","","","",""
"11","2013-05-03","Minnesota Wild","2","Chicago Blackhawks","5","","","",""
"12","2013-05-03","Ottawa Senators","1","Montreal Canadiens","3","","","",""
"13","2013-05-03","New York Islanders","4","Pittsburgh Penguins","3","","","",""
"14","2013-05-03","San Jose Sharks","3","Vancouver Canucks","2","OT","","",""
"15","2013-05-04","Toronto Maple Leafs","4","Boston Bruins","2","","","",""
"16","2013-05-04","Anaheim Ducks","4","Detroit Red Wings","0","","","",""
"17","2013-05-04","St. Louis Blues","0","Los Angeles Kings","1","","","",""
"18","2013-05-04","New York Rangers","0","Washington Capitals","1","OT","","",""
"19","2013-05-05","Chicago Blackhawks","2","Minnesota Wild","3","OT","","",""
"20","2013-05-05","Pittsburgh Penguins","5","New York Islanders","4","OT","","",""
"21","2013-05-05","Montreal Canadiens","1","Ottawa Senators","6","","","",""
"22","2013-05-05","Vancouver Canucks","2","San Jose Sharks","5","","","",""
"23","2013-05-06","Anaheim Ducks","2","Detroit Red Wings","3","OT","","",""
"24","2013-05-06","St. Louis Blues","3","Los Angeles Kings","4","","","",""
"25","2013-05-06","Washington Capitals","3","New York Rangers","4","","","",""
"26","2013-05-06","Boston Bruins","5","Toronto Maple Leafs","2","","","",""
"27","2013-05-07","Chicago Blackhawks","3","Minnesota Wild","0","","","",""
"28","2013-05-07","Pittsburgh Penguins","4","New York Islanders","6","","","",""
"29","2013-05-07","Montreal Canadiens","2","Ottawa Senators","3","OT","","",""
"30","2013-05-07","Vancouver Canucks","3","San Jose Sharks","4","OT","","",""
"31","2013-05-08","Detroit Red Wings","2","Anaheim Ducks","3","OT","","",""
"32","2013-05-08","Washington Capitals","3","New York Rangers","4","","","",""
"33","2013-05-08","Los Angeles Kings","3","St. Louis Blues","2","OT","","",""
"34","2013-05-08","Boston Bruins","4","Toronto Maple Leafs","3","OT","","",""
"35","2013-05-09","Minnesota Wild","1","Chicago Blackhawks","5","","","",""
"36","2013-05-09","Ottawa Senators","6","Montreal Canadiens","1","","","",""
"37","2013-05-09","New York Islanders","0","Pittsburgh Penguins","4","","","",""
"38","2013-05-10","Toronto Maple Leafs","2","Boston Bruins","1","","","",""
"39","2013-05-10","Anaheim Ducks","3","Detroit Red Wings","4","OT","","",""
"40","2013-05-10","St. Louis Blues","1","Los Angeles Kings","2","","","",""
"41","2013-05-10","New York Rangers","1","Washington Capitals","2","OT","","",""
"42","2013-05-11","Pittsburgh Penguins","4","New York Islanders","3","OT","","",""
"43","2013-05-12","Detroit Red Wings","3","Anaheim Ducks","2","","","",""
"44","2013-05-12","Washington Capitals","0","New York Rangers","1","","","",""
"45","2013-05-12","Boston Bruins","1","Toronto Maple Leafs","2","","","",""
"46","2013-05-13","Toronto Maple Leafs","4","Boston Bruins","5","OT","","",""
"47","2013-05-13","New York Rangers","5","Washington Capitals","0","","","",""
"48","2013-05-14","San Jose Sharks","0","Los Angeles Kings","2","","","",""
"49","2013-05-14","Ottawa Senators","1","Pittsburgh Penguins","4","","","",""
"50","2013-05-15","Detroit Red Wings","1","Chicago Blackhawks","4","","","",""
"51","2013-05-16","New York Rangers","2","Boston Bruins","3","OT","","",""
