"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2009-04-15","Carolina Hurricanes","1","New Jersey Devils","4","","","",""
"2","2009-04-15","Philadelphia Flyers","1","Pittsburgh Penguins","4","","","",""
"3","2009-04-15","St. Louis Blues","1","Vancouver Canucks","2","","","",""
"4","2009-04-15","New York Rangers","4","Washington Capitals","3","","","",""
"5","2009-04-16","Montreal Canadiens","2","Boston Bruins","4","","","",""
"6","2009-04-16","Calgary Flames","2","Chicago Blackhawks","3","OT","","",""
"7","2009-04-16","Columbus Blue Jackets","1","Detroit Red Wings","4","","","",""
"8","2009-04-16","Anaheim Ducks","2","San Jose Sharks","0","","","",""
"9","2009-04-17","Carolina Hurricanes","2","New Jersey Devils","1","OT","","",""
"10","2009-04-17","Philadelphia Flyers","2","Pittsburgh Penguins","3","OT","","",""
"11","2009-04-17","St. Louis Blues","0","Vancouver Canucks","3","","","",""
"12","2009-04-18","Montreal Canadiens","1","Boston Bruins","5","","","",""
"13","2009-04-18","Calgary Flames","2","Chicago Blackhawks","3","","","",""
"14","2009-04-18","Columbus Blue Jackets","0","Detroit Red Wings","4","","","",""
"15","2009-04-18","New York Rangers","1","Washington Capitals","0","","","",""
"16","2009-04-19","New Jersey Devils","3","Carolina Hurricanes","2","OT","","",""
"17","2009-04-19","Pittsburgh Penguins","3","Philadelphia Flyers","6","","","",""
"18","2009-04-19","Anaheim Ducks","3","San Jose Sharks","2","","","",""
"19","2009-04-19","Vancouver Canucks","3","St. Louis Blues","2","","","",""
"20","2009-04-20","Chicago Blackhawks","2","Calgary Flames","4","","","",""
"21","2009-04-20","Boston Bruins","4","Montreal Canadiens","2","","","",""
"22","2009-04-20","Washington Capitals","4","New York Rangers","0","","","",""
"23","2009-04-21","San Jose Sharks","4","Anaheim Ducks","3","","","",""
"24","2009-04-21","New Jersey Devils","3","Carolina Hurricanes","4","","","",""
"25","2009-04-21","Detroit Red Wings","4","Columbus Blue Jackets","1","","","",""
"26","2009-04-21","Pittsburgh Penguins","3","Philadelphia Flyers","1","","","",""
"27","2009-04-21","Vancouver Canucks","3","St. Louis Blues","2","OT","","",""
"28","2009-04-22","Chicago Blackhawks","4","Calgary Flames","6","","","",""
"29","2009-04-22","Boston Bruins","4","Montreal Canadiens","1","","","",""
"30","2009-04-22","Washington Capitals","1","New York Rangers","2","","","",""
"31","2009-04-23","San Jose Sharks","0","Anaheim Ducks","4","","","",""
"32","2009-04-23","Detroit Red Wings","6","Columbus Blue Jackets","5","","","",""
"33","2009-04-23","Carolina Hurricanes","0","New Jersey Devils","1","","","",""
"34","2009-04-23","Philadelphia Flyers","3","Pittsburgh Penguins","0","","","",""
"35","2009-04-24","New York Rangers","0","Washington Capitals","4","","","",""
"36","2009-04-25","Calgary Flames","1","Chicago Blackhawks","5","","","",""
"37","2009-04-25","Pittsburgh Penguins","5","Philadelphia Flyers","3","","","",""
"38","2009-04-25","Anaheim Ducks","2","San Jose Sharks","3","OT","","",""
"39","2009-04-26","New Jersey Devils","0","Carolina Hurricanes","4","","","",""
"40","2009-04-26","Washington Capitals","5","New York Rangers","3","","","",""
"41","2009-04-27","San Jose Sharks","1","Anaheim Ducks","4","","","",""
"42","2009-04-27","Chicago Blackhawks","4","Calgary Flames","1","","","",""
"43","2009-04-28","Carolina Hurricanes","4","New Jersey Devils","3","","","",""
"44","2009-04-28","New York Rangers","1","Washington Capitals","2","","","",""
"45","2009-04-30","Chicago Blackhawks","3","Vancouver Canucks","5","","","",""
"46","2009-05-01","Carolina Hurricanes","1","Boston Bruins","4","","","",""
"47","2009-05-01","Anaheim Ducks","2","Detroit Red Wings","3","","","",""
"48","2009-05-02","Chicago Blackhawks","6","Vancouver Canucks","3","","","",""
