					5G v 5G								4G v 4G								5G v 4G								4G v 5G								
J	P	Name	Team	GP	TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		
3	D	MARK PYSYK	buf	44	655	-7.2	-7.2	0.6	0.1	5.1	-1.4		27	-0.7	-0.7	0.1	-0.1	0.5	-0.2		55	6.0	0.7	0.1	0.1	-0.0	0.9		92	-13.1	-4.3	0.1	0.3	2.0	-1.9		
4	D	JAMIE MCBAIN	buf	68	1079	-15.5	-15.5	1.2	-0.7	8.9	-6.1		29	0.2	0.2	0.0	0.0	0.3	0.5		168	13.0	-3.2	0.7	0.2	0.2	-2.2		66	-9.1	-2.7	0.2	-0.1	1.2	-1.5		
5	D	CHAD RUHWEDEL	buf	21	315	-0.6	-0.6	-0.6	-0.0	2.6	1.4		7	-0.3	-0.3	-0.0	-0.1	0.1	-0.3		15	1.1	-0.4	0.4	-0.0	0.1	0.1		25	-2.4	0.1	-0.2	-0.1	0.4	0.3		
6	D	MIKE WEBER	buf	67	1040	-12.7	-12.7	0.8	-0.4	8.7	-3.6		25	-0.9	-0.9	-0.0	0.1	0.4	-0.3		2	0.1	-0.2	0.2	0.0	0.0	0.0		125	-13.9	-1.8	0.2	-0.4	2.6	0.6		
8	C	CODY MCCORMICK	buf	28	206	-4.6	-4.6	0.6	-0.1	2.1	-2.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	-0.0	0.0	0.0	0.0	-0.0		32	-4.5	-1.4	-0.2	0.1	0.7	-0.8		
9	C	STEVE OTT	buf	58	845	-10.4	-10.4	-0.2	0.4	7.3	-3.0		25	-0.7	-0.7	0.2	-0.2	0.6	-0.2		112	10.7	-0.2	0.4	0.2	0.0	0.5		138	-20.4	-7.0	1.3	0.8	3.1	-1.9		
10	D	CHRISTIAN EHRHOFF	buf	78	1280	-6.9	-6.9	0.3	0.2	10.4	4.0		49	-0.6	-0.6	0.0	-0.3	0.9	0.0		251	25.7	1.4	-0.9	0.1	-0.1	0.5		189	-24.1	-5.8	0.7	0.4	4.2	-0.5		
12	C	KEVIN PORTER	buf	12	124	-2.2	-2.2	0.1	-0.1	1.1	-1.2		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	-0.1	0.0	0.0	0.0	-0.0		15	-1.5	-0.1	-0.2	0.1	0.3	0.2		
17	L	LINUS OMARK	buf	13	135	0.1	0.1	0.2	-0.2	1.2	1.3		1	-0.2	-0.2	-0.0	-0.0	0.0	-0.2		24	2.1	-0.2	0.1	-0.0	0.1	-0.1		0	0.0	0.0	0.0	0.0	0.0	0.0		
17	C	TORREY MITCHELL	buf	9	109	0.9	0.9	0.4	-0.3	1.0	2.0		2	-0.2	-0.2	0.0	0.1	0.0	-0.1		1	0.1	-0.1	0.1	-0.0	0.0	-0.0		24	-2.5	-0.2	0.0	-0.2	0.6	0.3		
19	C	CODY HODGSON	buf	71	986	-10.4	-10.4	0.8	0.7	7.6	-1.3		26	-1.1	-1.1	-0.0	0.1	0.5	-0.6		209	21.5	1.4	-1.2	0.1	-0.3	0.2		37	-3.5	0.1	-0.2	-0.1	0.9	0.6		
20	D	HENRIK TALLINDER	buf	64	1026	-13.2	-13.2	-0.2	-0.2	8.4	-5.2		31	-1.3	-1.3	0.0	-0.1	0.7	-0.7		3	0.0	-0.3	0.3	-0.0	0.1	-0.0		137	-16.6	-3.4	-0.2	0.3	3.1	-0.2		
21	R	DREW STAFFORD	buf	69	965	-10.9	-10.9	0.1	0.7	7.9	-2.2		29	-0.7	-0.7	-0.0	-0.0	0.5	-0.3		152	16.2	1.5	-0.8	0.2	-0.2	0.7		102	-15.8	-6.0	-0.1	0.3	2.1	-3.7		
22	L	JOHAN LARSSON	buf	28	338	-3.7	-3.7	0.1	0.2	3.0	-0.4		5	-0.4	-0.4	0.0	-0.2	0.1	-0.5		5	-0.0	-0.5	0.2	0.0	0.1	-0.2		26	-3.4	-0.9	-0.1	-0.0	0.6	-0.4		
23	L	VILLE LEINO	buf	57	689	-6.0	-6.0	0.2	-0.6	6.0	-0.5		11	-0.6	-0.6	-0.0	-0.0	0.2	-0.4		96	8.5	-0.8	0.8	0.2	0.3	0.5		0	-0.1	-0.1	-0.0	0.0	0.0	-0.1		
24	C	ZENON KONOPKA	buf	23	161	-3.2	-3.2	1.3	-0.4	1.5	-0.9		1	-0.1	-0.1	0.1	-0.0	0.0	0.0		1	0.2	0.1	-0.0	0.0	0.0	0.1		44	-4.1	0.1	0.5	-0.3	0.9	1.2		
25	C	MIKHAIL GRIGORENKO	buf	18	187	-1.9	-1.9	-0.0	-0.1	1.7	-0.3		1	-0.2	-0.2	0.0	0.0	0.0	-0.1		17	1.1	-0.5	0.3	0.3	0.0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
26	L	THOMAS VANEK	buf	13	182	-3.3	-3.3	0.2	0.3	1.5	-1.1		4	-0.7	-0.7	-0.0	-0.0	0.1	-0.6		41	4.7	0.6	0.2	-0.1	-0.0	0.7		0	-0.0	0.1	-0.0	0.0	0.0	0.1		
26	L	MATT MOULSON	buf	43	625	-0.4	-0.4	0.3	0.4	4.6	4.8		23	-0.4	-0.4	-0.1	-0.1	0.4	-0.2		127	13.5	1.2	-0.4	0.1	-0.1	0.8		2	-0.4	-0.2	-0.1	-0.0	0.0	-0.3		
27	R	MATT D'AGOSTINI	buf	48	609	-6.8	-6.8	0.1	-0.2	5.3	-1.6		13	-0.0	-0.0	-0.0	-0.2	0.2	-0.0		81	5.1	-2.8	0.6	-0.1	0.2	-2.1		21	-2.2	-0.2	-0.3	-0.1	0.4	-0.2		
28	C	ZEMGUS GIRGENSONS	buf	69	873	0.3	0.3	0.1	-0.2	7.1	7.2		19	-0.2	-0.2	0.0	-0.0	0.3	0.1		26	1.4	-1.1	0.4	0.1	0.2	-0.4		117	-14.0	-2.6	-0.5	0.3	2.4	-0.4		
29	D	JAKE MCCABE	buf	7	97	-1.2	-1.2	0.2	0.0	0.8	-0.2		2	0.1	0.1	0.0	0.0	0.1	0.2		0	0.1	-0.0	0.1	0.0	0.0	0.1		5	-0.8	-0.3	0.1	0.0	0.1	-0.1		
32	L	JOHN SCOTT	buf	55	362	-6.2	-6.2	-0.0	-1.3	3.3	-4.3		0	0.0	0.0	0.0	0.0	-0.0	0.1		6	0.4	-0.2	0.0	-0.0	0.0	-0.2		0	0.0	0.0	0.0	0.0	0.0	0.0		
36	R	PATRICK KALETA	buf	5	33	-0.6	-0.6	0.0	-0.1	0.4	-0.3		0	-0.0	-0.0	0.0	-0.0	0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		7	-1.7	-1.0	0.1	0.1	0.2	-0.7		
37	L	MATT ELLIS	buf	49	383	-3.1	-3.1	0.3	-0.7	3.6	0.1		1	-0.1	-0.1	-0.0	-0.0	0.0	-0.1		3	0.3	-0.1	0.2	0.0	0.0	0.2		62	-8.3	-2.3	-0.0	-0.1	1.2	-1.3		
44	D	BRAYDEN MCNABB	buf	12	166	-2.2	-2.2	0.1	-0.3	1.3	-1.2		5	0.8	0.8	-0.0	-0.1	0.0	0.7		20	1.8	-0.2	0.1	0.0	0.1	0.0		11	-0.7	0.4	-0.3	-0.1	0.2	0.2		
44	L	NICOLAS DESLAURIERS	buf	17	191	-3.3	-3.3	0.1	-0.3	1.7	-1.9		0	0.0	0.0	0.0	0.0	-0.0	-0.0		28	2.4	-0.3	0.4	0.1	0.3	0.5		0	-0.2	-0.2	-0.0	-0.0	0.0	-0.2		
52	D	ALEXANDER SULZER	buf	24	360	-3.9	-4.0	-0.3	0.2	2.6	-1.5		10	0.2	0.2	-0.0	-0.0	0.1	0.3		15	1.4	-0.1	0.3	-0.0	0.0	0.3		41	-5.2	-1.3	-0.1	0.1	0.8	-0.4		
55	D	RASMUS RISTOLAINEN	buf	34	539	-5.9	-5.9	0.2	-0.1	4.7	-1.1		12	-0.4	-0.4	-0.0	0.0	0.2	-0.1		56	3.8	-1.7	-0.0	0.5	0.1	-1.2		45	-5.5	-1.1	0.1	-0.1	1.0	-0.1		
57	D	TYLER MYERS	buf	61	987	-10.2	-10.2	0.7	-0.1	8.5	-1.1		33	-1.8	-1.8	0.0	-0.1	0.7	-1.2		141	15.7	2.2	-0.2	-0.2	-0.1	1.6		142	-19.3	-5.6	0.0	0.3	2.8	-2.4		
61	D	NIKITA ZADOROV	buf	7	114	-2.4	-2.4	0.1	0.1	1.0	-1.3		1	-0.2	-0.2	-0.0	0.0	0.0	-0.2		1	0.0	-0.2	0.1	-0.0	0.0	-0.1		7	-0.9	-0.1	-0.0	-0.0	0.2	0.0		
63	C	TYLER ENNIS	buf	79	1150	-9.8	-9.8	0.1	0.5	8.5	-0.7		39	-0.4	-0.4	-0.1	-0.0	0.8	0.3		239	23.7	0.6	-0.9	-0.0	-0.4	-0.7		3	0.0	0.3	-0.2	-0.0	0.1	0.2		
65	C	BRIAN FLYNN	buf	78	903	-12.6	-12.6	-0.0	-0.5	7.2	-6.0		18	0.6	0.6	-0.0	-0.1	0.3	0.8		9	-0.1	-1.0	0.3	0.0	0.1	-0.6		169	-20.2	-3.9	0.5	-0.2	3.4	-0.1		
72	C	LUKE ADAM	buf	12	145	-1.1	-1.1	-0.3	-0.4	1.1	-0.7		0	0.0	0.0	0.0	0.0	-0.0	-0.0		6	0.1	-0.5	0.2	0.0	0.0	-0.2		0	0.0	0.0	0.0	0.0	0.0	0.0		
78	R	COREY TROPP	buf	9	84	-3.4	-3.4	-0.0	0.0	0.9	-2.5		1	0.1	0.1	0.0	0.0	0.0	0.1		2	0.3	0.0	0.1	0.0	-0.0	0.1		4	-0.1	0.2	-0.0	-0.0	0.1	0.3		
80	R	CHRIS STEWART	buf	5	60	-0.9	-0.9	0.1	0.3	0.5	-0.1		0	0.0	0.0	0.0	0.0	-0.0	-0.0		5	1.0	0.5	0.0	0.0	0.0	0.5		0	-0.1	-0.0	-0.0	0.0	0.0	0.0		
82	L	MARCUS FOLIGNO	buf	73	901	-13.5	-13.5	0.3	0.4	7.7	-5.0		12	0.2	0.2	0.0	0.0	0.2	0.4		77	7.2	-0.3	0.6	-0.4	-0.1	-0.2		77	-7.5	-0.0	-0.3	-0.1	1.6	1.1		
84	C	PHILIP VARONE	buf	9	103	0.7	0.7	-0.5	-0.4	0.9	0.7		0	0.0	0.0	0.0	0.0	-0.0	-0.0		1	-0.1	-0.2	0.1	-0.0	0.0	-0.2		0	0.0	0.0	0.0	0.0	0.0	0.0		
88	C	CORY CONACHER	buf	19	238	-4.8	-4.8	-0.1	-0.0	1.8	-3.1		0	0.0	0.0	0.0	0.0	-0.0	-0.0		40	3.4	-0.5	0.1	0.1	0.3	-0.1		0	-0.5	-0.5	0.0	0.1	0.0	-0.4		
3	D	LADISLAV SMID	cgy	56	872	-8.5	-8.5	0.6	0.0	2.9	-5.0		24	-0.5	-0.5	0.0	0.0	0.0	-0.4		4	-0.2	-0.7	0.2	-0.1	0.0	-0.6		96	-11.5	-2.2	-0.4	0.0	-0.3	-2.9		
4	D	KRIS RUSSELL	cgy	68	1239	-12.5	-12.5	-0.2	0.8	3.5	-8.3		46	-0.4	-0.4	-0.1	0.1	0.2	-0.2		183	19.2	1.6	-0.1	-0.6	1.1	2.0		55	-3.0	2.3	-0.3	0.2	-0.4	1.7		
5	D	MARK GIORDANO	cgy	64	1136	5.2	5.2	1.8	2.0	2.2	11.2		53	0.3	0.3	0.2	0.2	0.1	0.8		195	18.4	-0.4	-0.2	-0.3	0.9	-0.1		171	-13.8	2.6	1.0	0.4	-1.0	3.0		
6	D	DENNIS WIDEMAN	cgy	46	797	-1.5	-1.5	-2.1	0.3	3.0	-0.2		30	-0.9	-0.9	-0.1	0.2	0.1	-0.7		133	11.3	-1.5	0.0	-0.8	0.7	-1.7		56	-5.6	-0.1	0.1	0.3	-0.5	-0.1		
7	D	TJ BRODIE	cgy	81	1544	0.8	0.8	2.8	2.9	3.0	9.4		69	0.4	0.4	-0.0	0.2	0.1	0.6		142	12.4	-1.3	0.6	-0.7	0.8	-0.5		146	-14.8	-0.7	-0.3	0.4	-0.7	-1.4		
8	C	JOE COLBORNE	cgy	80	968	-4.9	-4.9	-0.2	0.3	3.5	-1.3		19	-0.6	-0.6	-0.0	-0.0	0.0	-0.6		106	9.9	-0.4	0.2	-0.5	0.5	-0.1		19	-1.9	-0.0	0.1	0.1	-0.3	-0.1		
10	C	CORBAN KNIGHT	cgy	7	58	-1.0	-1.0	-0.2	0.0	0.4	-0.8		0	0.0	0.0	0.0	0.0	-0.0	-0.0		2	0.2	-0.1	0.0	0.1	-0.0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
11	C	MIKAEL BACKLUND	cgy	76	1058	-2.8	-2.8	1.0	1.4	2.3	1.9		39	0.5	0.5	0.1	0.3	0.1	0.9		128	12.7	0.4	0.1	-0.0	0.8	1.2		138	-10.7	2.7	-0.2	0.4	-0.8	2.1		
13	L	MIKE CAMMALLERI	cgy	63	952	-2.2	-2.2	1.0	1.0	2.3	2.1		36	-1.4	-1.4	0.1	0.2	0.1	-1.0		170	16.9	0.5	-0.7	-1.0	0.8	-0.4		20	-2.8	-0.8	-0.2	0.0	-0.1	-1.1		
15	R	TIM JACKMAN	cgy	10	66	-0.8	-0.8	-0.2	-0.1	0.4	-0.6		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	-0.2	-0.1	0.0	-0.0	-0.0	-0.1		
15	R	KEVIN WESTGARTH	cgy	36	255	-0.5	-0.5	-0.4	-0.6	1.7	0.2		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	-0.0	0.0	0.0	0.0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
16	R	BRIAN MCGRATTAN	cgy	76	515	-6.9	-6.9	-0.5	-1.1	2.7	-5.9		0	0.0	0.0	0.0	0.0	-0.0	-0.0		3	0.3	-0.1	-0.0	0.1	-0.0	-0.0		0	-0.2	-0.1	0.0	0.0	0.0	-0.1		
17	L	LANCE BOUMA	cgy	78	826	-6.8	-6.9	1.9	0.2	2.9	-1.9		2	-0.0	-0.0	0.1	0.0	0.0	0.1		17	0.8	-0.9	0.5	-0.2	0.1	-0.4		160	-15.5	-0.0	1.1	0.2	-0.9	0.3		
18	C	MATT STAJAN	cgy	63	959	-4.5	-4.5	2.1	0.5	2.2	0.4		41	-0.5	-0.5	0.2	-0.0	0.2	-0.2		19	1.6	-0.3	0.4	-0.1	0.2	0.1		126	-14.8	-2.6	1.0	0.1	-0.6	-2.0		
19	C	BLAIR JONES	cgy	14	133	-1.0	-1.0	0.0	0.1	0.6	-0.3		1	0.0	0.0	0.0	0.0	0.0	0.1		2	0.1	-0.1	0.0	0.0	0.0	-0.1		13	-1.1	0.2	-0.0	-0.1	-0.0	0.1		
20	L	CURTIS GLENCROSS	cgy	38	529	-3.8	-3.8	0.5	0.5	1.4	-1.5		12	-0.4	-0.4	0.1	-0.0	0.0	-0.4		90	9.2	0.5	-0.2	-0.6	0.5	0.1		14	-1.5	-0.1	-0.1	-0.0	-0.1	-0.4		
21	L	ROMAN HORAK	cgy	1	4	-0.0	-0.0	-0.0	0.0	0.0	0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
22	R	LEE STEMPNIAK	cgy	52	765	-2.9	-2.9	0.4	0.6	1.6	-0.4		26	0.6	0.6	-0.2	0.1	0.1	0.6		88	10.0	1.6	0.2	-0.4	0.6	1.9		82	-6.0	1.9	-0.6	0.1	-0.5	0.9		
23	C	SEAN MONAHAN	cgy	75	973	-5.0	-5.0	-0.8	0.1	3.6	-2.1		23	0.4	0.4	-0.1	-0.0	0.1	0.4		150	13.6	-0.8	0.0	-0.1	0.8	-0.2		16	-0.4	1.2	-0.0	0.1	-0.2	1.0		
24	C	JIRI HUDLER	cgy	75	1083	-0.9	-0.9	-1.1	1.4	3.2	2.5		37	-0.4	-0.4	-0.1	0.3	0.0	-0.2		204	17.0	-2.6	-0.3	-0.9	0.8	-3.1		5	0.0	0.5	-0.2	-0.0	-0.1	0.2		
27	D	DEREK SMITH	cgy	14	133	-2.1	-2.1	-0.2	-0.3	0.7	-2.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.1	0.0	-0.0	-0.0	0.1		
28	L	LANE MACDERMID	cgy	1	3	-0.1	-0.1	0.0	-0.1	0.0	-0.2		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
32	C	PAUL BYRON	cgy	47	559	-3.2	-3.2	0.1	0.1	1.4	-1.7		17	0.2	0.2	0.0	0.0	-0.0	0.2		35	3.4	0.0	0.3	0.1	0.2	0.6		58	-4.8	0.8	-0.1	0.1	-0.2	0.7		
38	C	BEN STREET	cgy	13	114	-1.7	-1.7	-0.3	0.3	0.3	-1.4		1	-0.0	-0.0	0.0	-0.0	0.0	-0.0		5	0.5	0.1	0.0	-0.0	0.0	0.1		14	-1.5	-0.1	0.1	0.1	-0.1	0.1		
39	L	TJ GALIARDI	cgy	62	813	0.7	0.7	0.1	0.5	2.9	4.2		6	-0.1	-0.1	-0.0	0.0	0.0	-0.0		11	0.6	-0.4	0.1	-0.2	0.1	-0.4		62	-7.0	-1.1	-0.2	0.5	-0.3	-1.2		
41	D	CHAD BILLINS	cgy	10	108	-1.2	-1.2	-0.5	-0.2	0.7	-1.1		0	0.0	0.0	0.0	0.0	-0.0	-0.0		12	0.4	-0.8	0.1	-0.0	0.1	-0.7		0	0.0	0.0	0.0	0.0	0.0	0.0		
42	D	MARK CUNDARI	cgy	4	43	-0.2	-0.2	-0.2	-0.1	0.4	-0.2		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	-0.1	0.0	0.0	-0.0	-0.1		0	0.0	0.0	0.0	0.0	0.0	0.0		
43	D	CHRISTOPHER BREEN	cgy	9	83	-1.4	-1.4	-0.4	-0.1	0.5	-1.3		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		3	-0.0	0.3	-0.0	0.0	-0.0	0.3		
44	D	CHRIS BUTLER	cgy	82	1386	-10.3	-10.3	2.2	0.2	5.0	-2.9		42	-1.0	-1.0	0.3	-0.0	0.2	-0.5		26	3.0	0.4	0.3	-0.1	0.1	0.7		210	-19.8	0.3	1.3	0.3	-1.3	0.7		
46	C	BILL ARNOLD	cgy	1	13	-0.3	-0.3	0.0	0.0	0.1	-0.2		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
47	L	SVEN BAERTSCHI	cgy	26	331	-2.3	-2.3	-0.7	-0.1	1.3	-1.8		2	-0.0	-0.0	0.0	0.0	0.0	0.0		27	2.3	-0.3	0.1	-0.3	0.2	-0.3		1	0.0	0.2	-0.1	-0.0	-0.0	0.0		
48	L	BRYCE VAN BRABANT	cgy	6	54	-1.6	-1.6	-0.0	0.1	0.2	-1.3		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
51	L	KENNY AGOSTINO	cgy	8	83	-0.5	-0.5	-0.2	0.0	0.5	-0.2		0	0.0	-0.0	0.0	-0.0	-0.0	-0.0		2	0.3	0.0	0.0	-0.0	0.0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
53	L	JOHNNY GAUDREAU	cgy	1	13	0.0	0.0	0.1	-0.0	0.1	0.1		0	0.0	0.0	0.0	0.0	-0.0	-0.0		1	0.3	0.2	0.0	0.0	0.0	0.2		0	0.0	0.0	0.0	0.0	0.0	0.0		
54	R	DAVID JONES	cgy	48	647	-2.1	-2.1	2.2	0.8	1.6	2.5		5	0.0	0.0	-0.0	0.0	-0.0	0.0		88	6.8	-1.6	0.4	-0.6	0.5	-1.3		5	-0.3	0.2	-0.0	0.0	-0.0	0.1		
55	D	SHANE O'BRIEN	cgy	45	501	-5.7	-5.7	-0.6	-1.3	2.3	-5.3		6	0.2	0.2	-0.1	0.1	0.0	0.2		1	-0.0	-0.2	0.0	0.0	0.0	-0.2		5	-0.3	0.2	-0.0	0.0	-0.0	0.2		
56	D	TYLER WOTHERSPOON	cgy	14	180	-2.7	-2.7	-0.3	-0.3	1.0	-2.4		1	0.0	0.0	0.0	0.0	0.0	0.0		0	0.0	-0.0	0.1	-0.0	0.0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
58	L	BEN HANOWSKI	cgy	11	80	-1.0	-1.0	-0.3	-0.0	0.6	-0.7		0	0.0	0.0	0.0	0.0	-0.0	-0.0		1	0.2	0.1	-0.0	0.0	-0.0	0.1		0	0.0	0.1	0.0	-0.0	-0.0	0.1		
59	C	MAX REINHART	cgy	8	77	-0.8	-0.8	0.1	0.1	0.3	-0.3		0	0.0	0.0	0.0	0.0	-0.0	-0.0		4	0.5	0.0	0.1	-0.0	0.0	0.1		0	0.0	0.1	0.0	-0.0	-0.0	0.1		
60	C	MARKUS GRANLUND	cgy	7	64	0.6	0.6	-0.0	-0.1	0.2	0.7		1	0.0	-0.0	0.0	-0.0	0.0	0.0		9	1.0	0.1	0.1	0.0	0.0	0.2		3	0.1	0.5	-0.1	0.0	-0.0	0.4		
4	D	ANDREJ SEKERA	car	73	1262	-7.9	-7.9	-0.2	1.4	2.4	-4.3		56	0.6	0.6	-0.1	-0.0	-0.7	-0.2		180	17.0	-0.4	-0.1	-0.2	1.4	0.7		174	-19.1	-2.3	0.5	1.2	-0.5	-1.0		
5	D	MIKE KOMISAREK	car	32	348	-3.0	-3.1	-0.4	-0.1	1.0	-2.5		2	0.1	0.1	0.0	-0.0	-0.0	0.0		5	0.3	-0.2	0.0	0.1	0.0	-0.1		19	-1.6	0.2	-0.1	0.0	-0.2	-0.1		
6	D	TIM GLEASON	car	17	251	-2.3	-2.3	-0.1	0.1	0.7	-1.7		1	-0.2	-0.2	-0.0	0.0	-0.0	-0.2		1	0.2	0.0	0.1	-0.0	0.0	0.1		22	-1.7	0.5	-0.5	0.3	-0.2	0.1		
7	D	RYAN MURPHY	car	48	708	-8.1	-8.1	-1.6	-0.3	1.8	-8.3		32	1.0	1.0	0.0	-0.0	-0.4	0.6		114	7.5	-3.5	-0.3	-0.0	0.9	-3.0		3	-0.4	-0.0	-0.2	0.0	-0.0	-0.2		
8	R	KEVIN WESTGARTH	car	12	60	0.0	0.0	-0.1	-0.1	0.2	0.1		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
8	C	ANDREI LOKTIONOV	car	20	245	-2.6	-2.6	-0.3	0.7	0.4	-1.9		3	-0.2	-0.2	-0.0	0.0	-0.1	-0.2		43	5.9	1.7	-0.0	0.2	-0.0	1.9		0	0.0	0.0	0.0	0.0	0.0	0.0		
11	C	JORDAN STAAL	car	81	1144	2.4	2.4	-0.4	2.1	1.2	5.3		44	0.9	0.9	0.1	0.1	-0.6	0.5		170	15.5	-0.9	0.3	-0.4	1.4	0.5		114	-9.2	1.7	0.5	0.6	-0.7	2.1		
12	C	ERIC STAAL	car	78	1177	-3.5	-3.5	-3.6	1.9	2.3	-2.8		47	1.1	1.1	-0.3	0.1	-0.5	0.4		239	22.0	-1.0	-1.1	0.2	2.3	0.5		61	-5.3	0.6	-0.6	0.3	-0.3	0.0		
14	C	NATHAN GERBE	car	80	1059	0.4	0.4	1.1	1.2	0.8	3.5		20	1.0	1.0	-0.0	-0.0	-0.3	0.7		127	10.1	-2.1	0.5	-0.4	1.0	-1.0		71	-6.5	0.4	-0.7	0.5	-0.5	-0.3		
15	R	TUOMO RUUTU	car	56	684	-2.7	-2.7	-1.4	0.1	1.9	-2.0		6	0.1	0.1	-0.0	0.1	-0.1	0.1		102	9.1	-0.8	0.2	-0.1	0.9	0.1		3	-0.5	-0.2	-0.0	-0.1	-0.0	-0.3		
16	C	ELIAS LINDHOLM	car	58	671	-5.8	-5.8	-1.9	0.4	1.6	-5.8		10	-0.0	-0.0	-0.0	-0.1	-0.1	-0.3		130	10.9	-1.6	-0.7	0.5	0.5	-1.4		3	-0.4	-0.1	-0.2	-0.1	-0.0	-0.4		
18	R	RADEK DVORAK	car	59	548	-4.0	-4.0	2.1	-0.9	1.4	-1.4		6	0.1	0.1	0.0	0.0	-0.1	0.0		5	0.3	-0.3	-0.0	0.0	0.0	-0.2		54	-5.6	-0.4	0.3	0.5	-0.2	0.2		
19	C	JIRI TLUSTY	car	67	847	-0.9	-0.9	-1.7	1.6	1.3	0.3		11	0.5	0.5	-0.1	0.1	-0.2	0.4		100	6.8	-2.8	0.1	0.4	0.9	-1.5		36	-3.3	0.2	-0.1	-0.1	-0.3	-0.2		
20	C	RILEY NASH	car	72	777	-0.1	-0.1	-0.7	-0.2	2.6	1.5		20	0.1	0.1	-0.1	0.1	-0.2	-0.1		56	6.8	1.4	-0.1	-0.0	-0.1	1.1		47	-4.6	-0.1	-0.5	0.2	-0.4	-0.8		
21	L	DRAYSON BOWMAN	car	69	662	-4.9	-4.9	2.3	-0.4	1.5	-1.5		6	0.3	0.3	0.1	0.0	-0.1	0.3		24	1.6	-0.7	0.3	0.1	0.2	-0.2		23	-1.6	0.6	-0.1	0.0	-0.1	0.4		
22	C	MANNY MALHOTRA	car	68	661	-5.0	-5.0	5.1	-0.4	1.6	1.2		11	0.3	0.3	0.2	0.0	-0.2	0.4		2	0.4	0.1	-0.0	0.0	0.0	0.2		112	-11.4	-0.6	1.1	0.5	-0.6	0.3		
26	D	JOHN-MICHAEL LILES	car	34	558	3.5	3.5	-0.3	0.9	0.8	4.9		20	0.6	0.6	0.0	0.1	-0.2	0.4		78	6.1	-1.4	-0.4	0.1	0.7	-0.9		6	-0.2	0.5	-0.2	0.0	-0.1	0.2		
27	D	JUSTIN FAULK	car	75	1311	-6.2	-6.2	-0.1	1.7	2.6	-2.1		62	1.2	1.2	-0.2	0.2	-0.7	0.5		145	12.5	-1.4	0.2	0.1	1.1	-0.0		169	-20.8	-4.5	0.5	1.1	-0.9	-3.8		
28	R	ALEXANDER SEMIN	car	64	966	3.8	3.8	-2.2	1.0	1.5	4.2		33	0.1	0.1	-0.1	0.1	-0.5	-0.3		198	15.4	-3.6	-1.0	-0.1	1.6	-3.1		30	-2.0	0.9	-0.7	0.2	-0.2	0.2		
32	L	ZACH BOYCHUK	car	11	99	-0.5	-0.5	-0.1	-0.3	0.2	-0.7		0	0.1	0.1	-0.0	0.0	-0.0	0.0		9	0.5	-0.4	0.1	-0.1	0.1	-0.4		0	0.0	0.0	0.0	0.0	0.0	0.0		
37	R	AARON PALUSHAJ	car	2	17	0.7	0.7	-0.0	-0.1	0.0	0.7		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	-0.0	0.0	-0.0	0.0	-0.0		0	-0.1	-0.1	0.0	0.0	-0.0	-0.1		
